sense_id,status_pre_aug,status_post_aug
oewn-angrily__4.02.00..,background,background
oewn-angry__3.00.00..,artifact,artifact
oewn-angry__5.00.00.stormy.00,artifact,artifact
oewn-anguish__1.12.02..,artifact,artifact
oewn-angular__3.00.00..,artifact,artifact
oewn-angular__3.01.00..,artifact,artifact
oewn-animal__1.03.00..,closed,closed
oewn-animal__5.00.00.physical.00,closed,closed
oewn-animate__2.37.00..,artifact,artifact
oewn-animated__3.00.00..,artifact,artifact
oewn-animateness__1.07.00..,artifact,artifact
oewn-animating__5.00.00.invigorating.00,artifact,artifact
oewn-animation__1.26.00..,artifact,external
oewn-anion__1.17.00..,artifact,artifact
oewn-anise__1.20.00..,artifact,artifact
oewn-ankle__1.08.00..,background,background
oewn-annihilated__5.00.00.destroyed.00,artifact,artifact
oewn-anniversary__1.28.00..,background,background
oewn-announcement__1.10.00..,artifact,artifact
oewn-annoy__2.37.00..,artifact,artifact
oewn-annoyance__1.09.00..,external,external
oewn-annoyance__1.12.00..,artifact,artifact
oewn-annoyance__1.26.00..,artifact,artifact
oewn-annoyed__5.00.00.displeased.00,artifact,artifact
oewn-annoying__1.04.00..,artifact,artifact
oewn-annoying__5.00.00.disagreeable.00,artifact,artifact
oewn-annual__1.20.00..,background,background
oewn-annul__2.32.00..,artifact,artifact
oewn-annul__2.41.00..,artifact,artifact
oewn-annulus__1.20.00..,graph_data,graph_data
oewn-anode__1.06.00..,artifact,artifact
oewn-anomaly__1.26.00..,artifact,artifact
oewn-anonymous__3.00.00..,artifact,external
oewn-answer__1.10.01..,closed,closed
oewn-answer__1.10.03..,closed,closed
oewn-answering__5.00.00.responsive.00,closed,closed
oewn-antacid__1.27.00..,artifact,artifact
oewn-antagonistic__5.00.00.negative.02,artifact,artifact
oewn-antarctic__1.15.00..,graph_data,graph_data
oewn-antecedent__1.10.00..,background,background
oewn-antecedent__1.18.00..,background,background
oewn-antelope__1.05.00..,artifact,artifact
oewn-anterior__1.08.00..,artifact,artifact
oewn-anthelmintic__1.06.00..,artifact,artifact
oewn-anther__1.20.00..,background,background
oewn-anthropologist__1.18.00..,artifact,artifact
oewn-anthropology__1.09.00..,artifact,artifact
oewn-anthurium__1.20.00..,artifact,artifact
oewn-anti__1.18.00..,artifact,artifact
