lemma,surface_word,seed_node_count,source_node_ids,parts_of_speech,max_degree_score,best_frequency,earliest_age_of_acquisition,mean_concreteness
johnny,johnny,1,johnny::n,n,13,4.936174240970782,,
rock,rock,1,rock::n,n,133,4.934793021554251,3.22,4.91
window,window,1,window::n,n,76,4.934001776549405,4.74,4.86
army,army,1,army::n,n,121,4.932414948634112,7.15,4.7
record,record,1,record::v,v,25,4.93191787351758,6.3,4.15
certain,certain,1,certain::a,a,525,4.930822301488142,8.2,1.68
college,college,1,college::n,n,103,4.929823922929145,8.37,4.62
evidence,evidence,2,evidence::n;evidence::v,n;v,107,4.928923415674791,10.58,3.65
completely,completely,1,completely::r,r,178,4.925706404802793,,2.18
test,test,1,test::v,v,17,4.924190188383533,6.26,3.93
born,born,1,born::n,n,1546,4.922160296948407,4.68,3.22
near,near,1,near::r,r,25,4.919097558712681,5.411785000000001,2.79
letter,letter,1,letter::v,v,5,4.916528673416542,4.74,4.7
star,star,1,star::v,v,4,4.909882238856553,3.89,4.69
pleasure,pleasure,1,pleasure::n,n,127,4.9066259341008776,8.21,2.04
list,list,1,list::v,v,21,4.905781618924809,5.58,4.43
service,service,1,service::n,n,186,4.902174853596617,8.0,2.21
fat,fat,1,fat::v,v,14,4.899503578832703,5.15,4.52
station,station,1,station::v,v,7,4.897570036021206,7.11,4.32
gold,gold,2,gold::a;gold::n,a;n,123,4.896815771751891,7.1,4.81
seat,seat,2,seat::n;seat::v,n;v,123,4.8959521483364945,4.58,4.78
summer,summer,1,summer::v,v,7,4.8953033018782985,4.33,3.64
radio,radio,2,radio::n;radio::v,n;v,137,4.88699955693469,5.17,4.74
brain,brain,1,brain::n,n,270,4.886116170956266,5.76,4.69
forgive,forgive,1,forgive::v,v,8,4.884898573803177,5.44,1.92
deep,deep,2,deep::a;deep::n,a;n,292,4.88256454793715,5.47,3.38
slow,slow,1,slow::r,r,10,4.880441946887147,4.15,3.28
attack,attack,1,attack::v,v,48,4.877745852463894,6.58,3.71
partner,partner,2,partner::n;partner::v,n;v,41,4.875825941342776,5.85,3.53
area,area,1,area::n,n,690,4.874124824863454,6.58,3.72
third,third,1,third::r,r,4,4.871846254673884,4.580539,3.44
bus,bus,1,bus::v,v,4,4.869785269874215,3.85,4.9
driving,driving,1,driving::a,a,5,4.869440819506996,,3.96
english,english,1,english::n,n,1265,4.869096095730274,,
group,group,2,group::n;group::v,n;v,967,4.867368360464324,5.94,4.12
joke,joke,1,joke::v,v,10,4.862960419228772,5.2,2.9
truck,truck,1,truck::v,v,3,4.862026703240186,3.79,4.84
e,e,1,e::n,n,542,4.8603878541939025,,
